f,TF,Rs,Ls,Csh,Gsh,C0,G0,CHL,GHL,Case_name
19.9986187,-78.87722259,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.04472027,-78.89732647,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.09092813,-78.91743083,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.1372425,-78.93753568,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.18366364,-78.95764102,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.23019179,-78.97774684,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.2768272,-78.99785315,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.32357011,-79.01795996,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.37042078,-79.03806727,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.41737945,-79.05817507,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.46444637,-79.07828338,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.51162179,-79.09839219,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.55890596,-79.1185015,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.60629913,-79.13861132,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.65380156,-79.15872165,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.70141349,-79.1788325,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.74913517,-79.19894386,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.79696687,-79.21905574,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.84490883,-79.23916813,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.89296131,-79.25928105,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.94112456,-79.27939449,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
20.98939884,-79.29950846,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
21.0377844,-79.31962296,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
21.0862815,-79.33973799,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
21.1348904,-79.35985356,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
21.18361135,-79.37996966,1,40,2.35,6.45,20,140,50,350,10_KVA_HV
